Date,Spot
"abr 21, 2000",22.99
"abr 28, 2000",23.28
"may 05, 2000",24.96
"may 12, 2000",26.9
"may 19, 2000",28.67
"may 26, 2000",29.05
"jun 02, 2000",29.64
"jun 09, 2000",28.67
"jun 16, 2000",29.81
"jun 23, 2000",29.78
"jun 30, 2000",31.03
"jul 07, 2000",30.9
"jul 14, 2000",30.53
"jul 21, 2000",27.95
"jul 28, 2000",26.02
"ago 04, 2000",26.48
"ago 11, 2000",28.34
"ago 18, 2000",30.07
"ago 25, 2000",31.77
"sep 01, 2000",34.32
"sep 08, 2000",36.43
"sep 15, 2000",33.26
"sep 22, 2000",33.09
"sep 29, 2000",29.41
"oct 06, 2000",29.83
"oct 13, 2000",31.83
"oct 20, 2000",30.97
"oct 27, 2000",31.35
"nov 03, 2000",30.9
"nov 10, 2000",31.59
"nov 17, 2000",33.32
"nov 24, 2000",33.46
"dic 01, 2000",32.53
"dic 08, 2000",28.28
"dic 15, 2000",25.94
"dic 22, 2000",23.48
"dic 29, 2000",22.48
"ene 05, 2001",24.05
"ene 12, 2001",25.02
"ene 19, 2001",25.37
"ene 26, 2001",27.15
"feb 02, 2001",27.19
"feb 09, 2001",29.62
"feb 16, 2001",27.63
"feb 23, 2001",26.29
"mar 02, 2001",25.26
"mar 09, 2001",25.93
"mar 16, 2001",24.33
"mar 23, 2001",23.48
"mar 30, 2001",24.04
"abr 06, 2001",24
"abr 13, 2001",26
"abr 20, 2001",26.27
"abr 27, 2001",26.05
"may 04, 2001",27.28
"may 11, 2001",27.77
"may 18, 2001",28.34
"may 25, 2001",29.31
"jun 01, 2001",28.86
"jun 08, 2001",28.87
"jun 15, 2001",28.87
"jun 22, 2001",26.82
"jun 29, 2001",26.63
"jul 06, 2001",25.9
"jul 13, 2001",24.47
"jul 20, 2001",23.47
"jul 27, 2001",24.69
"ago 03, 2001",24.83
"ago 10, 2001",25.6
"ago 17, 2001",25.41
"ago 24, 2001",25.48
"ago 31, 2001",26.57
"sep 07, 2001",26.64
"sep 14, 2001",28.47
"sep 21, 2001",26.41
"sep 28, 2001",20.95
"oct 05, 2001",21.11
"oct 12, 2001",20.91
"oct 19, 2001",19.88
"oct 26, 2001",20.46
"nov 02, 2001",19.72
"nov 09, 2001",19.31
"nov 16, 2001",18.42
"nov 23, 2001",18.57
"nov 30, 2001",18.8
"dic 07, 2001",18.99
"dic 14, 2001",18.02
"dic 21, 2001",18.74
"dic 28, 2001",19.1
"ene 04, 2002",20.29
"ene 11, 2002",20.42
"ene 18, 2002",18.52
"ene 25, 2002",18.77
"feb 01, 2002",19.3
"feb 08, 2002",19.91
"feb 15, 2002",20.99
"feb 22, 2002",20.02
"mar 01, 2002",20.6
"mar 08, 2002",22.27
"mar 15, 2002",23.42
"mar 22, 2002",24.43
"mar 29, 2002",25.03
"abr 05, 2002",26.42
"abr 12, 2002",24.89
"abr 19, 2002",24.89
"abr 26, 2002",26.24
"may 03, 2002",26.41
"may 10, 2002",26.15
"may 17, 2002",26.35
"may 24, 2002",24.61
"may 31, 2002",24
"jun 07, 2002",22.99
"jun 14, 2002",23.2
"jun 21, 2002",24.55
"jun 28, 2002",25.16
"jul 05, 2002",25.63
"jul 12, 2002",25.55
"jul 19, 2002",26.28
"jul 26, 2002",25.45
"ago 02, 2002",25.68
"ago 09, 2002",25.52
"ago 16, 2002",26.44
"ago 23, 2002",27.58
"ago 30, 2002",27.53
"sep 06, 2002",27.45
"sep 13, 2002",28.51
